label,message
ham,I'll call you after 5.
spam,Free recharge worth Rs 10000. Click here.
ham,Let's have lunch at 7.
spam,Congratulations! You have won Rs 50000. Click now to claim.
ham,Hey are we meeting today?
spam,Win a free iPhone. Click here.
ham,Can you send me the notes?
spam,Limited offer! Claim your prize now.
ham,See you tomorrow.
spam,You have won a lottery worth Rs 100000.
ham,Where are you?
spam,Click this link to claim reward.
ham,Good Morning
spam,Congratulations! Free Gift Voucher.
ham,Let's study together.
spam,Urgent! Your account won cash.
